,Date,Price,Change,Score,Square
0,2018-06-15,105.87999725341797,-0.1300048828125,-17.0,289.0
1,2018-06-18,105.9000015258789,-0.029998779296875,3.0,9.0
2,2018-06-19,106.01000213623047,-0.04000091552734375,-282.0,79524.0
3,2018-06-20,105.80999755859375,-0.25,-44.0,1936.0
4,2018-06-21,105.83999633789062,-0.04000091552734375,-57.0,3249.0
5,2018-06-22,105.94000244140625,0.12000274658203125,-40.0,1600.0
6,2018-06-25,105.87999725341797,-0.06999969482421875,6.0,36.0
7,2018-06-26,106.05000305175781,0.06000518798828125,4.0,16.0
8,2018-06-27,106.23999786376953,0.0099945068359375,-84.0,7056.0
9,2018-06-28,106.2300033569336,-0.04999542236328125,-50.0,2500.0
10,2018-06-29,106.31999969482422,0.01999664306640625,-38.0,1444.0
11,2018-07-02,105.98999786376953,-0.1100006103515625,-6.0,36.0
12,2018-07-03,106.20999908447266,0.18000030517578125,1.0,1.0
13,2018-07-05,106.30999755859375,0.089996337890625,-3.0,9.0
14,2018-07-06,106.41999816894531,0.0099945068359375,-40.0,1600.0
15,2018-07-09,106.31999969482422,0.029998779296875,-15.0,225.0
16,2018-07-10,106.23999786376953,-0.04000091552734375,30.0,900.0
17,2018-07-11,106.27999877929688,-0.0500030517578125,-69.0,4761.0
18,2018-07-12,106.41000366210938,0.15000152587890625,-85.0,7225.0
19,2018-07-13,106.51000213623047,0.06999969482421875,-41.0,1681.0
20,2018-07-16,106.38999938964844,0.04000091552734375,14.0,196.0
21,2018-07-17,106.3499984741211,-0.0500030517578125,-14.0,196.0
22,2018-07-18,106.31999969482422,-0.04000091552734375,3.0,9.0
23,2018-07-19,106.4800033569336,0.14000701904296875,20.0,400.0
24,2018-07-20,106.2699966430664,-0.1100006103515625,-23.0,529.0
25,2018-07-23,105.9000015258789,-0.26999664306640625,5.0,25.0
26,2018-07-24,106.05000305175781,0.1300048828125,24.0,576.0
27,2018-07-25,106.05999755859375,-0.06000518798828125,25.0,625.0
28,2018-07-26,106.0,-0.09999847412109375,-15.0,225.0
29,2018-07-27,106.08000183105469,-0.04999542236328125,15.0,225.0
30,2018-07-30,105.97000122070312,0.029998779296875,9.0,81.0
31,2018-07-31,106.05999755859375,-0.0500030517578125,23.0,529.0
32,2018-08-01,105.69999694824219,0.149993896484375,18.0,324.0
33,2018-08-02,105.73999786376953,-0.0200042724609375,-29.0,841.0
34,2018-08-03,105.97000122070312,0.160003662109375,-4.0,16.0
35,2018-08-06,106.04000091552734,0.01000213623046875,62.0,3844.0
36,2018-08-07,105.8499984741211,-0.12000274658203125,-12.0,144.0
37,2018-08-08,105.8499984741211,0.01999664306640625,-41.0,1681.0
38,2018-08-09,106.0,0.029998779296875,19.0,361.0
39,2018-08-10,106.2300033569336,0.12000274658203125,5.0,25.0
40,2018-08-13,106.29000091552734,0.12999725341796875,-12.0,144.0
41,2018-08-14,106.19000244140625,-0.1100006103515625,-21.0,441.0
42,2018-08-15,106.33999633789062,0.04999542236328125,8.0,64.0
43,2018-08-16,106.4000015258789,0.0200042724609375,-12.0,144.0
44,2018-08-17,106.45999908447266,0.029998779296875,1.0,1.0
45,2018-08-20,106.66999816894531,0.0800018310546875,70.0,4900.0
46,2018-08-21,106.58000183105469,0.0,21.0,441.0
47,2018-08-22,106.66999816894531,0.0099945068359375,-24.0,576.0
48,2018-08-23,106.61000061035156,-0.05999755859375,-20.0,400.0
49,2018-08-24,106.7300033569336,0.23000335693359375,4.0,16.0
50,2018-08-27,106.58999633789062,0.0,-4.0,16.0
51,2018-08-28,106.38999938964844,-0.05999755859375,13.0,169.0
52,2018-08-29,106.37000274658203,-0.0099945068359375,8.0,64.0
53,2018-08-30,106.41999816894531,-0.0500030517578125,8.0,64.0
54,2018-08-31,106.41000366210938,-0.1699981689453125,-2.0,4.0
55,2018-09-04,106.05999755859375,0.04000091552734375,11.0,121.0
56,2018-09-05,106.01000213623047,-0.04000091552734375,5.0,25.0
57,2018-09-06,106.19000244140625,0.100006103515625,7.0,49.0
58,2018-09-07,105.80999755859375,-0.1100006103515625,-4.0,16.0
59,2018-09-10,105.91000366210938,0.06000518798828125,10.0,100.0
60,2018-09-11,105.7300033569336,-0.04999542236328125,-11.0,121.0
61,2018-09-12,105.80000305175781,-0.0099945068359375,-67.0,4489.0
62,2018-09-13,105.87000274658203,-0.089996337890625,-34.0,1156.0
63,2018-09-14,105.66999816894531,-0.0500030517578125,25.0,625.0
64,2018-09-17,105.66999816894531,0.01999664306640625,-39.0,1521.0
65,2018-09-18,105.44000244140625,-0.149993896484375,12.0,144.0
66,2018-09-19,105.23999786376953,-0.18000030517578125,-2.0,4.0
67,2018-09-20,105.37999725341797,0.149993896484375,-30.0,900.0
68,2018-09-21,105.45999908447266,0.12000274658203125,-11.0,121.0
69,2018-09-24,105.36000061035156,0.029998779296875,3.0,9.0
70,2018-09-25,105.30999755859375,0.05999755859375,-1.0,1.0
71,2018-09-26,105.55999755859375,0.18999481201171875,5.0,25.0
72,2018-09-27,105.62999725341797,0.12999725341796875,21.0,441.0
73,2018-09-28,105.5199966430664,-0.17000579833984375,4.0,16.0
74,2018-10-01,105.23999786376953,-0.1100006103515625,8.0,64.0
75,2018-10-02,105.36000061035156,0.04000091552734375,21.0,441.0
76,2018-10-03,104.86000061035156,-0.3600006103515625,-1.0,1.0
77,2018-10-04,104.55999755859375,-0.09000396728515625,-6.0,36.0
78,2018-10-05,104.33000183105469,-0.12999725341796875,6.0,36.0
79,2018-10-08,104.29000091552734,-0.089996337890625,31.0,961.0
80,2018-10-09,104.44000244140625,0.0500030517578125,35.0,1225.0
81,2018-10-10,104.41000366210938,0.07000732421875,0.0,0.0
82,2018-10-11,104.72000122070312,0.1300048828125,26.0,676.0
83,2018-10-12,104.75,0.04000091552734375,-28.0,784.0
84,2018-10-15,104.68000030517578,-0.0500030517578125,-9.0,81.0
85,2018-10-16,104.73999786376953,0.04999542236328125,-9.0,81.0
86,2018-10-17,104.52999877929688,-0.18000030517578125,25.0,625.0
87,2018-10-18,104.45999908447266,0.06999969482421875,57.0,3249.0
88,2018-10-19,104.37000274658203,-0.09999847412109375,4.0,16.0
89,2018-10-22,104.3499984741211,-0.12000274658203125,5.0,25.0
90,2018-10-23,104.4800033569336,-0.18999481201171875,-11.0,121.0
91,2018-10-24,104.75,0.05999755859375,-9.0,81.0
92,2018-10-25,104.66000366210938,-0.04999542236328125,-21.0,441.0
93,2018-10-26,104.9000015258789,0.0200042724609375,-24.0,576.0
94,2018-10-29,104.79000091552734,-0.06999969482421875,0.0,0.0
95,2018-10-30,104.63999938964844,-0.04000091552734375,-16.0,256.0
96,2018-10-31,104.58999633789062,0.089996337890625,10.0,100.0
97,2018-11-01,104.33999633789062,0.1199951171875,57.0,3249.0
98,2018-11-02,104.02999877929688,-0.220001220703125,71.0,5041.0
99,2018-11-05,104.0999984741211,-0.04000091552734375,27.0,729.0
100,2018-11-06,104.11000061035156,0.0200042724609375,44.0,1936.0
101,2018-11-07,104.19999694824219,-0.0500030517578125,13.0,169.0
102,2018-11-08,104.01000213623047,-0.18000030517578125,8.0,64.0
103,2018-11-09,104.13999938964844,0.06999969482421875,28.0,784.0
104,2018-11-12,104.30999755859375,0.0,30.0,900.0
105,2018-11-13,104.3499984741211,0.04999542236328125,49.0,2401.0
