,Date,Price,Change,Score,Square
0,2018-06-15,135.4600067138672,1.7400054931640625,-17.0,289.0
1,2018-06-18,133.72999572753906,-1.029998779296875,3.0,9.0
2,2018-06-19,134.42999267578125,1.279998779296875,-282.0,79524.0
3,2018-06-20,134.60000610351562,-0.1699981689453125,-44.0,1936.0
4,2018-06-21,134.8300018310547,0.19000244140625,-57.0,3249.0
5,2018-06-22,135.86000061035156,0.779998779296875,-40.0,1600.0
6,2018-06-25,136.44000244140625,0.9199981689453125,6.0,36.0
7,2018-06-26,136.05999755859375,-0.44000244140625,4.0,16.0
8,2018-06-27,135.42999267578125,-0.480010986328125,-84.0,7056.0
9,2018-06-28,134.38999938964844,0.3600006103515625,-50.0,2500.0
10,2018-06-29,134.27000427246094,-0.0399932861328125,-38.0,1444.0
11,2018-07-02,133.6199951171875,-0.1399993896484375,-6.0,36.0
12,2018-07-03,133.86000061035156,-0.30999755859375,1.0,1.0
13,2018-07-05,135.8300018310547,1.3000030517578125,-3.0,9.0
14,2018-07-06,136.22999572753906,0.3699951171875,-40.0,1600.0
15,2018-07-09,135.60000610351562,-0.6899871826171875,-15.0,225.0
16,2018-07-10,137.05999755859375,1.0200042724609375,30.0,900.0
17,2018-07-11,136.55999755859375,-0.30999755859375,-69.0,4761.0
18,2018-07-12,136.50999450683594,-0.540008544921875,-85.0,7225.0
19,2018-07-13,137.13999938964844,0.6999969482421875,-41.0,1681.0
20,2018-07-16,136.42999267578125,-0.600006103515625,14.0,196.0
21,2018-07-17,137.55999755859375,0.9799957275390625,-14.0,196.0
22,2018-07-18,136.6199951171875,-0.82000732421875,3.0,9.0
23,2018-07-19,136.6199951171875,0.6199951171875,20.0,400.0
24,2018-07-20,137.3800048828125,1.05999755859375,-23.0,529.0
25,2018-07-23,136.5800018310547,-0.5200042724609375,5.0,25.0
26,2018-07-24,136.63999938964844,0.17999267578125,24.0,576.0
27,2018-07-25,137.6300048828125,0.80999755859375,25.0,625.0
28,2018-07-26,138.52999877929688,0.459991455078125,-15.0,225.0
29,2018-07-27,138.5,0.029998779296875,15.0,225.0
30,2018-07-30,138.25,0.19000244140625,9.0,81.0
31,2018-07-31,138.89999389648438,0.3699951171875,23.0,529.0
32,2018-08-01,137.52999877929688,-0.970001220703125,18.0,324.0
33,2018-08-02,139.25999450683594,1.7899932861328125,-29.0,841.0
34,2018-08-03,141.0800018310547,1.5800018310546875,-4.0,16.0
35,2018-08-06,141.07000732421875,-0.0099945068359375,62.0,3844.0
36,2018-08-07,140.35000610351562,-0.7299957275390625,-12.0,144.0
37,2018-08-08,139.39999389648438,-0.9000091552734375,-41.0,1681.0
38,2018-08-09,138.94000244140625,-0.529998779296875,19.0,361.0
39,2018-08-10,138.41000366210938,-0.0800018310546875,5.0,25.0
40,2018-08-13,138.35000610351562,-0.1599884033203125,-12.0,144.0
41,2018-08-14,139.2899932861328,0.79998779296875,-21.0,441.0
42,2018-08-15,139.7899932861328,0.80999755859375,8.0,64.0
43,2018-08-16,141.74000549316406,0.5600128173828125,-12.0,144.0
44,2018-08-17,142.8000030517578,1.260009765625,1.0,1.0
45,2018-08-20,142.8300018310547,-0.1100006103515625,70.0,4900.0
46,2018-08-21,141.83999633789062,-1.0800018310546875,21.0,441.0
47,2018-08-22,141.0500030517578,-0.709991455078125,-24.0,576.0
48,2018-08-23,140.75999450683594,-0.1100006103515625,-20.0,400.0
49,2018-08-24,140.66000366210938,-0.029998779296875,4.0,16.0
50,2018-08-27,140.6699981689453,-0.3000030517578125,-4.0,16.0
51,2018-08-28,140.25,-0.42999267578125,13.0,169.0
52,2018-08-29,140.30999755859375,0.0699920654296875,8.0,64.0
53,2018-08-30,139.9199981689453,-0.19000244140625,8.0,64.0
54,2018-08-31,140.0500030517578,0.1300048828125,-2.0,4.0
55,2018-09-04,139.74000549316406,-0.089996337890625,11.0,121.0
56,2018-09-05,141.22999572753906,1.6699981689453125,5.0,25.0
57,2018-09-06,141.7100067138672,0.480010986328125,7.0,49.0
58,2018-09-07,141.32000732421875,0.25,-4.0,16.0
59,2018-09-10,141.82000732421875,0.220001220703125,10.0,100.0
60,2018-09-11,141.47999572753906,-0.2100067138671875,-11.0,121.0
61,2018-09-12,143.07000732421875,1.6300048828125,-67.0,4489.0
62,2018-09-13,142.74000549316406,-0.2599945068359375,-34.0,1156.0
