,Date,Price,Change,Score,Square
0,2018-06-15,70.08000183105469,0.2400054931640625,-17.0,289.0
1,2018-06-18,70.05999755859375,0.43000030517578125,3.0,9.0
2,2018-06-19,69.94000244140625,0.5600051879882812,-282.0,79524.0
3,2018-06-20,69.83000183105469,-0.529998779296875,-44.0,1936.0
4,2018-06-21,69.62000274658203,0.0200042724609375,-57.0,3249.0
5,2018-06-22,69.25,-0.75,-40.0,1600.0
6,2018-06-25,68.58000183105469,-0.40000152587890625,6.0,36.0
7,2018-06-26,68.33000183105469,-0.26999664306640625,4.0,16.0
8,2018-06-27,67.4000015258789,-0.8899993896484375,-84.0,7056.0
9,2018-06-28,67.54000091552734,0.44000244140625,-50.0,2500.0
10,2018-06-29,67.44999694824219,-0.8100051879882812,-38.0,1444.0
11,2018-07-02,67.8499984741211,0.8199996948242188,-6.0,36.0
12,2018-07-03,67.33000183105469,-0.7399978637695312,1.0,1.0
13,2018-07-05,67.52999877929688,-0.220001220703125,-3.0,9.0
14,2018-07-06,67.86000061035156,0.45999908447265625,-40.0,1600.0
15,2018-07-09,69.4000015258789,1.2399978637695312,-15.0,225.0
16,2018-07-10,69.08999633789062,-0.4900054931640625,30.0,900.0
17,2018-07-11,68.72000122070312,-0.01000213623046875,-69.0,4761.0
18,2018-07-12,68.73999786376953,-0.410003662109375,-85.0,7225.0
19,2018-07-13,68.37999725341797,-0.17000579833984375,-41.0,1681.0
20,2018-07-16,69.47000122070312,0.910003662109375,14.0,196.0
21,2018-07-17,69.62999725341797,0.09999847412109375,-14.0,196.0
22,2018-07-18,70.55999755859375,0.7999954223632812,3.0,9.0
23,2018-07-19,69.75,-0.5100021362304688,20.0,400.0
24,2018-07-20,69.91999816894531,0.31999969482421875,-23.0,529.0
25,2018-07-23,70.77999877929688,0.9000015258789062,5.0,25.0
26,2018-07-24,70.88999938964844,0.01000213623046875,24.0,576.0
27,2018-07-25,70.94000244140625,0.1100006103515625,25.0,625.0
28,2018-07-26,70.98999786376953,-0.12000274658203125,-15.0,225.0
29,2018-07-27,71.01000213623047,-0.089996337890625,15.0,225.0
30,2018-07-30,71.0199966430664,-0.100006103515625,9.0,81.0
31,2018-07-31,70.61000061035156,-0.5800018310546875,23.0,529.0
32,2018-08-01,70.66000366210938,-0.2599945068359375,18.0,324.0
33,2018-08-02,70.7300033569336,0.5200042724609375,-29.0,841.0
34,2018-08-03,71.0,0.3600006103515625,-4.0,16.0
35,2018-08-06,71.22000122070312,0.20000457763671875,62.0,3844.0
36,2018-08-07,71.48999786376953,0.089996337890625,-12.0,144.0
37,2018-08-08,71.69000244140625,0.20000457763671875,-41.0,1681.0
38,2018-08-09,71.37000274658203,-0.2599945068359375,19.0,361.0
39,2018-08-10,70.66000366210938,-0.01999664306640625,5.0,25.0
40,2018-08-13,70.02999877929688,-0.5999984741210938,-12.0,144.0
41,2018-08-14,70.66999816894531,0.48999786376953125,-21.0,441.0
42,2018-08-15,70.16000366210938,-0.06999969482421875,8.0,64.0
43,2018-08-16,71.0199966430664,0.5399932861328125,-12.0,144.0
44,2018-08-17,71.2300033569336,0.350006103515625,1.0,1.0
45,2018-08-20,71.44999694824219,0.23999786376953125,70.0,4900.0
46,2018-08-21,71.81999969482422,0.34999847412109375,21.0,441.0
47,2018-08-22,71.62000274658203,0.04000091552734375,-24.0,576.0
48,2018-08-23,71.26000213623047,-0.29999542236328125,-20.0,400.0
49,2018-08-24,71.41999816894531,-0.06000518798828125,4.0,16.0
50,2018-08-27,72.20999908447266,0.4799957275390625,-4.0,16.0
51,2018-08-28,72.12999725341797,-0.25,13.0,169.0
52,2018-08-29,72.08000183105469,-0.0800018310546875,8.0,64.0
53,2018-08-30,71.56999969482422,-0.30999755859375,8.0,64.0
54,2018-08-31,71.58000183105469,0.12000274658203125,-2.0,4.0
55,2018-09-04,71.91000366210938,0.44000244140625,11.0,121.0
56,2018-09-05,71.91999816894531,0.0800018310546875,5.0,25.0
57,2018-09-06,71.52999877929688,-0.3800048828125,7.0,49.0
58,2018-09-07,71.47000122070312,-0.15999603271484375,-4.0,16.0
59,2018-09-10,71.37999725341797,-0.25,10.0,100.0
60,2018-09-11,71.44000244140625,0.20000457763671875,-11.0,121.0
61,2018-09-12,70.76000213623047,-0.6399993896484375,-67.0,4489.0
62,2018-09-13,70.63999938964844,-0.25,-34.0,1156.0
63,2018-09-14,71.13999938964844,0.40999603271484375,25.0,625.0
64,2018-09-17,70.83999633789062,-0.40000152587890625,-39.0,1521.0
65,2018-09-18,71.04000091552734,0.12000274658203125,12.0,144.0
66,2018-09-19,72.0999984741211,1.0800018310546875,-2.0,4.0
67,2018-09-20,72.73999786376953,0.2299957275390625,-30.0,900.0
